song,liked,user_id
Movin' Out,0,170
My Fist Your Face,1,171
My Girl,1,172
Never Loved A Girl,1,173
No More No More,1,174
No Surprize,0,175
Nobody's Fault,0,176
Oasis In The Night,1,177
On The Road Again,0,178
Once Is Enough,1,179
One Way Street,1,180
Outta Your Head,0,181
Pandora's Box,1,182
Permanent Vacation,0,183
Pink,1,184
Prelude To Joanie,0,185
Push Comes To Shove,0,186
Rag Doll,0,187
Rats In The Cellar,0,188
Rattlesnake Shake,1,189
Red House,1,190
Remember,0,191
Road Runner,1,192
Rocket 88,0,193
Rockin' Pneumonia And The Boogie Woogie Flu,0,194
Round And Round,0,195
Same Old Song And Dance,1,196
Scream In Pain,1,197
Seasons Of Wither,0,198
Sedona Sunrise,1,199
"Shame, Shame, Shame",1,200
She's On Fire,1,201
Shut Up And Dance,1,202
Sick As A Dog,1,203
Sight For Sore Eyes,1,204
Somebody,1,205
Something,1,206
Something's Gotta Give,1,207
Spaced,0,208
Spiderman Theme,0,209
St. John,0,210
Stop Messin' Around,0,211
Sunny Side Of Love,1,212
Sunshine,1,213
Sweet Emotion,1,214
Take It Easy,0,215
Taste Of India,1,216
Temperature,0,217
The Farm,0,218
The Grind,0,219
The Hand That Feeds,1,220
The Hop,1,221
The Other Side,1,222
The Reason A Dog,1,223
Think About It,1,224
This Little Light Of Mine,1,225
Three Mile Smile,0,226
Title Fly Away From Here,0,227
Toys In The Attic,1,228
Train Kept A Rollin',1,229
Trip Hoppin',0,230
Uncle Salty,1,231
Under My Skin,1,232
Voodoo Medicine Man,1,233
Walk On Down,0,234
Walk On Water,0,235
A Little Bit More,1,236
A Place Where We Belong,1,237
After All,1,238
Ain't It A Shame,0,239
All By Myself,1,240
All Out Of Love,0,241
Alternate Ending,0,242
Always,1,243
American Hearts,1,244
Believe In The Supernatural,1,245
Believer,1,246
Big Cat,1,247
Black And Blue,1,248
Body Glove,1,249
Book Of Love,1,250
Bread And Blood,0,251
Bring Out The Magic,0,252
Can't Fight This Feeling,1,253
Come To Me,1,254
Come What May,0,255
Crazy Love,0,256
Dancing With The Mountain,1,257
Daybreak,1,258
Do It Again,1,259
Do What You Do,1,260
Does It Matter,0,261
Don't Be Afraid,0,262
Don't Tell Me,1,263
Don't Turn Me Away,0,264
Don't Walk Away,0,265
Empty Pages,1,266
End Of The Line,1,267
Even The Nights Are Better,0,268
Every Woman In The World,0,269
Evidence Of Love,1,270
Evil Woman,0,271
Faith,0,272
Hard To Forget Her,0,273
Heart Of The Rose,0,274
Here I Am,1,275
Hope Springs Eternal,1,276
I Can't Believe My Eyes,0,277
I Can't Get Excited,0,278
I Can't Let Go,1,279
I Come Alive (Date With An Angel),1,280
I Don't Believe You,0,281
I Don't Want To Lose You,0,282
I Just Like The Feeling,1,283
I Know You Better Than You Think,1,284
I Remember Love,1,285
I Wanna Hold You Tonight,1,286
I Want To Give It All,0,287
I Want You,1,288
If You Love Me,1,289
I'll Be Thinking Of You,1,290
I'll Find You,0,291
I'll Never Get Enough Of You,1,292
I'm Alive,1,293
It's Automatic,0,294
It's Never Too Late,1,295
It's Not Easy,1,296
It's Not Too Late,1,297
I've Got Your Love,1,298
Just Another Woman,0,299
Just As I Am,1,300
Just Between The Lines,0,301
Late Again,1,302
Love Comes To Me,1,303
Love Conquers Time,1,304
Love Is All,1,305
Love Is The Arrow,0,306
Make It Right,0,307
Making Love Out Of Nothing At All,1,308
Miracles,1,309
More Than Natural,0,310
Mother Said,0,311
My Best Friend,0,312
My Hearts With You,0,313
Never Fade Away,0,314
News From Nowhere,0,315
Nothing's Gonna Change My Love For You,0,316
Now And Forever,0,317
O Come All Ye Faithful,0,318
Old Habits Die Hard,0,319
One Step Closer,1,320
Only One Forever,1,321
Peaches And Cream,1,322
Ready For You,1,323
Secret Agent,1,324
Shadow Of The Sun,1,325
She Never Heard Me Call,0,326
Sleigh Ride,0,327
Someone,1,328
Someone Who Believes In You,0,329
Speaking Of Love,0,330
Spirit Of Love,1,331
Stars In Your Eyes,0,332
Stop The Tears,0,333
Strangers In Love,1,334
Strong Strong Wind,0,335
Stronger Than The Night,1,336
Sunset,1,337
Swear To Your Heart,0,338
Sweet Dreams,1,339
Taking The Chance,1,340
The First Noel,1,341
Tonite,1,342
Too Sentimental,1,343
Total Eclipse Of The Heart,0,344
We The People,1,345
Winter Wonderland,1,346
Fool Til The End,0,347
Friend Of Mine,0,348
Huwag Mong Iwan Ang Puso,0,349
I See You Lord,0,350
If,0,351
If We Try,0,352
Ikaw Ang Aking Mahal,0,353
Ikaw Na Ang Bahala: Panalangin,0,354
Laughter In The Rain,0,355
Open Arms,1,356
Pakisabi Na Lang,0,357
Put A Little Love In Your Heart,1,358
Sa Huli Ang Sikat,1,359
Sa Ugoy Ng Duyan,0,360
Sorry,1,361
Calling All Angels,0,362
Can't Keep A Good Man Down,1,363
Carolina Mountain Dew,1,364
Christmas In Dixie,0,365
Christmas In Your Arms,0,366
Christmas Is Love,0,367
Christmas Shoes,1,368
Church In The Wildwood,1,369
Clear Across America Tonight,0,370
Clear Water Blues,1,371
Close Enough To Perfect,0,372
Country Side Of Life,1,373
"Dancin', Shaggin' On The Boulevard",1,374
Dixie Boy,1,375
Dixie Fire,0,376
Dixieland Delight,1,377
Down By The Riverside,1,378
Down Home,0,379
Down On Longboat Key,1,380
Down On The River,0,381
Down This Road,1,382
Fallin' Again,1,383
Fantasy,0,384
Feels So Right,1,385
Fire On Fire,1,386
Fireworks,1,387
Five O'clock 500,1,388
Food On The Table,0,389
Forever's As Far As I'll Go,0,390
Getting Over You,0,391
Give Me One More Shot,1,392
God Must Have Spent A Little More Time On You,0,393
Gonna Have A Party,1,394
Goodbye,1,395
Green River,1,396
Gulf Of Mexico,0,397
Hangin' Round The Mistletoe,1,398
Hanging Up My Travelin' Shoes,1,399
Happy Birthday Jesus,1,400
Happy Holidays,1,401
Hats Off,1,402
Heartbreak Express,0,403
Here We Are,1,404
Hey Baby,0,405
High Cotton,1,406
His Eye Is On The Sparrow,0,407
Hollywood,1,408
I Ain't Got No Business Doin',1,409
I Love You Enough To Let You Go,1,410
I Write A Little,0,411
If I Could Just See You Now,0,412
If I Had You,0,413
If It Ain't Dixie,0,414
If You're Gonna Play In Texas,0,415
I'm In A Hurry,1,416
I'm In A Hurry (And Don't Know Why),0,417
I'm In That Kind Of Mood,0,418
I'm In The Mood,0,419
I'm Not That Way Anymore,0,420
I'm Still Dreamin',1,421
I'm Stoned,1,422
Jukebox In My Mind,0,423
Katy Brought My Guitar Back Today,0,424
Lady Down On Love,0,425
Little Things,1,426
Lonesome Valley,1,427
Love In The First Degree,0,428
Lovin' Man,0,429
Once Upon A Lifetime,0,430
Pass It On Down,0,431
Precious Memories,0,432
Reckless,0,433
She Can,1,434
Small Stuff,0,435
Tar Top,1,436
Tennessee River,1,437
The Boy,0,438
The Woman He Loves,0,439
Then Again,0,440
All Our Yesterdays,0,441
Can't Take It With You,0,442
Days Are Numbers,0,443
Don't Answer Me,1,444
Don't Let The Moment Pass,0,445
Eye In The Sky,0,446
Fall Free,0,447
Games People Play,1,448
Gemini,0,449
I'd Rather Be A Man,0,450
May Be A Price To Pay,0,451
Mr. Time,0,452
So Far Away,0,453
Somebody Out There,0,454
Take The Money And Run,0,455
The Cask Of Amontillado,0,456
The Eagle Will Rise Again,0,457
The Fall Of The House Of Usher - I Prelude,0,458
The Raven,1,459
The Real World,1,460
The Ring,0,461
The Same Old Sun,0,462
(The System Of) Doctor Tarr And Professor Fether,1,463
The Tell-Tale Heart,0,464
The Turn Of A Friendly Card,0,465
The Turn Of A Friendly Card (Part 1),0,466
The Turn Of A Friendly Card (Part One),0,467
The Voice,1,468
There But For The Grace Of God,1,469
Time,0,470
We Play The Game,0,471
Make Me A Channel Of Your Peace,0,472
Walking In The Air,1,473
Apple Bush,1,474
Ballad Of Dwight Fry,1,475
Be My Lover,1,476
Be With You Awhile,0,477
Between High School And The Old School,0,478
Blue Turk,1,479
"Changing, Arranging",0,480
Clones (We're All),1,481
Crawlin',1,482
Damned If You Do,0,483
Dead Babies,1,484
Department Of Youth,0,485
Desperado,0,486
Devil's Food,0,487
Didn't We Meet,0,488
Die For You,0,489
Dirty Diamonds,0,490
Disgraceland,0,491
Enough's Enough,0,492
For Britain Only,0,493
Gail,1,494
Give It Up,1,495
Give The Radio Back,0,496
Goin' To The River,1,497
Headlines,0,498
He's Back,0,499
I Better Be Good,0,500
I Just Wanna Be God,0,501
I Like Girls,1,502
I Love America,1,503
I Miss You,0,504
I Never Wrote Those Songs,0,505
I'm Alive,0,506
It's Much Too Late,1,507
Killer,0,508
Lace And Whiskey,1,509
Love's A Loaded Gun,1,510
Lullaby,1,511
Millie And Billie,1,512
Nuclear Infected,1,513
Poison,1,514
Refrigerator Heaven,1,515
Remarkably Insincere,1,516
Angry Chair,1,517
Dam That River,0,518
Fat Girls,0,519
God Smack,0,520
Grind,1,521
Heaven N' Hell,0,522
Love Song,1,523
No Excuses,1,524
Over The Edge,1,525
Private Hell,1,526
Put You Down,1,527
Queen Of The Rodeo,0,528
Real Thing,1,529
Rooster,0,530
Rotten Apple,0,531
Sealed With A Kiss,1,532
Shame In You,0,533
Sickman,1,534
Stay,0,535
Sunshine,1,536
Swing On This,1,537
Whatcha Gonna Do,1,538
But You Know I Love You,1,539
Dimming Of The Day,0,540
Dreaming My Dreams With You,1,541
Faraway Land,1,542
Foolish Heart,0,543
Fortune Teller,1,544
Gentle River,1,545
Gravity,1,546
Here Comes Goodbye,0,547
I Can Let Go Now,0,548
If I Give My Heart,0,549
In The Palm Of Your Hand,1,550
It Doesn't Matter,0,551
It's Over,0,552
Jesus Help Me To Stand,0,553
Jubilee,1,554
Killing The Blues,0,555
Lay Down Beside Me,0,556
Lay My Burden Down,1,557
Lie Awake,0,558
Lord Don't Forsake Me,1,559
Lucky One,1,560
Maybe,1,561
On The Borderline,0,562
Paper Airplane,0,563
Pastures Of Plenty,1,564
Shield Of Faith,1,565
Shimmy Down The Chimney (Fill Up My Stocking),0,566
That Kind Of Love,0,567
What'll I Do,1,568
When God Dips His Pen Of Love In My Heart,0,569
Who Can Blame You,1,570
Will You Be Leaving,0,571
Your Long Journey,0,572
Ain't No Good To Cry,1,573
Bad Rain,1,574
Been Gone Too Long,0,575
Brothers Of The Road,0,576
Demons,1,577
Every Hungry Woman,1,578
Good Time Feelin,1,579
Leavin',1,580
Let Me Ride,1,581
Mean Old World,1,582
Mean Woman Blues,0,583
Midnight Blues,1,584
Morning Dew,1,585
Mystery Woman,0,586
Nancy,1,587
Need Your Love So Bad,1,588
Never Knew How Much,0,589
No Money Down,1,590
Old Friend,0,591
Sail Away,0,592
Sailin' 'cross The Devil's Sea,1,593
Shine It On,1,594
Straight From The Heart,1,595
The Heat Is On,1,596
The Weight,1,597
Things You Used To Do,1,598
Two Rights,0,599
Woman Across The River,0,600
You Don't Love Me,1,601
Afternoons In Utopia,1,602
Ain't It Strange,1,603
Apollo,1,604
Ariana,0,605
Ascension Day,1,606
Carol Masters,1,607
Five Years,0,608
For The Sake Of Love,0,609
Forever Young,1,610
Giants,1,611
Girl From Pachacamac,1,612
Golden Feeling,1,613
Guardian Angel,0,614
Headlines,1,615
Heart Of The Flower,0,616
Heaven Or Hell,0,617
Here By Your Side,0,618
Iron John,0,619
Ivory Tower,0,620
Middle Of The Riddle,0,621
Monkey In The Moon,0,622
Moon Boy,0,623
New Horizons,0,624
Roll Away The Stone,1,625
Sensations,0,626
Shadows She Said,0,627
Ship Of Fools,0,628
Sister Sun,1,629
Some People,0,630
Soul Messiah,1,631
Sounds Like A Melody,1,632
Summer In Berlin,1,633
The Opium Den,1,634
The Other Side Of You,0,635
Wishful Thinking,1,636
A Horse With No Name,1,637
Bell Tree,0,638
Can't Fall Asleep To A Lullaby,1,639
Can't You See,0,640
Cast The Spirit,0,641
Catch That Train,0,642
Chasing The Rainbow,1,643
Children,1,644
Christmas In California,0,645
Cinderella,0,646
Clarice,0,647
Close To The Wind,0,648
Company,0,649
Desperate Love,0,650
Don't Cry Baby,1,651
Don't Let It Get You Down,0,652
Down To The Water,1,653
Even The Score,0,654
Foolin',1,655
Garden Of Peace,0,656
Glad To See You,0,657
God Of The Sun,0,658
Golden,0,659
Goodbye,1,660
Goodbye Highway,1,661
Have Yourself A Merry Little Christmas,1,662
Here,1,663
High In The City,1,664
Hope,0,665
In The Country,1,666
In The Sea,1,667
International,0,668
Jet Boy Blue,1,669
Let It Snow,0,670
Letter,1,671
Lonely People,0,672
Love's Worn Out Again,1,673
Mad Dog,1,674
Moon Song,1,675
My Dear,0,676
My Kinda Woman,0,677
Never Be Lonely,0,678
Never Found The Time,1,679
No Fortune,1,680
Old Virginia,1,681
Oloololo,1,682
One Morning,0,683
Playing God,0,684
Ports-Of-Call,1,685
Riverside,0,686
Saturn Nights,0,687
Seasons,1,688
She's A Liar,1,689
She's Gonna Let You Down,1,690
Simple Life,1,691
Sleigh Ride,1,692
Slow Down,1,693
Sometimes Lovers,1,694
Submarine Ladies,0,695
Take It Easy,0,696
The Border,0,697
These Brown Eyes,1,698
Today's The Day,1,699
Town And Country,0,700
Valentine,0,701
A Christmas To Remember,0,702
Abide With Me,1,703
After The Fire,0,704
Ageless Medley,0,705
All I Ever Have To Be,0,706
Baby Baby,1,707
Beautiful Music,0,708
Christmas Can't Be Very Far Away,0,709
Christmas Lullaby,1,710
Do You Remember The Time,1,711
Every Heartbeat,0,712
Father,0,713
Fill Me With Your Love,1,714
I Will Remember You,1,715
If You Have To Go Away,0,716
It's Not A Song,0,717
Jehovah,0,718
Life's Gonna Change,1,719
Mountain Top,0,720
Nobody Home,0,721
Not Giving Up,1,722
Nothing Is Beyond You,1,723
O Little Town,1,724
O Love That Will Not Let Me Go,1,725
"O Master, Let Me Walk With Thee",1,726
O Sacred Head,0,727
Old Man's Rubble,0,728
Out In The Open,0,729
Santa's Reindeer Ride,0,730
Say Once More,0,731
So Glad,0,732
Sweet Will Of God,0,733
The Power,1,734
The Things We Do For Love,1,735
Power Of Love,0,736
Sogno,0,737
Someone Like You,0,738
Voglio Restare Cosi,0,739
When A Child Is Born,1,740
A Fool Never Learns,0,741
Baby Doll,0,742
Christmas Needs Love To Be Christmas,1,743
Days Of Wine And Roses,0,744
Falling In Love With Love,1,745
I Will Wait For You,1,746
If I Could Only Go Back Again,0,747
I'm So Lonesome I Could Cry,0,748
It's A Most Unusual Day,1,749
Love Song Of Kalua,0,750
Love Story,1,751
May Each Day,0,752
More Today Than Yesterday,1,753
My Sweet Lord,1,754
One Day Of Your Life,0,755
Quiet Night Of Quiet Stars,1,756
Say It Isn't So,1,757
Show Me,0,758
So Rare,1,759
Still Under The Weather,1,760
The Bilbao Song,0,761
Walk Hand In Hand,1,762
Where Or When,0,763
Winter Wonderland,1,764
Words By Lorenz Hart And Music By Richard Rodgers,0,765
Wouldn't It Be Loverly,1,766
Wrong For Each Other,0,767
You Don't Want My Love,0,768
Back Together,1,769
Carring The Banner,1,770
Heartbeat,0,771
We Got Annie,1,772
We'D Like To Thank You,0,773
Baby I,0,774
Break Free,1,775
Direct Contact,0,776
Higher,0,777
Honeymoon Avenue,0,778
Just A Little Bit Of Your Heart,1,779
Not Just On Christmas,1,780
Pink Champagne,1,781
Right There,1,782
Why Try,0,783
A Smile In Your Heart,1,784
Both Inlove,0,785
I Don't Love You Anymore (duet With Lea Salonga),1,786
Minamahal Pala Kita,0,787
All Over The World,0,788
Anytime,1,789
Buffalo Skinners,0,790
Children Of Abraham,1,791
Coming Into Los Angeles,0,792
Cowboy Song,1,793
Dead Or Alive,1,794
Drowning Man,0,795
Eli,0,796
Evangelina,1,797
Every Hand In The Land,0,798
Gates Of Eden,1,799
Hobo's Lullaby,1,800
I Ride On Old Pain,0,801
Jacob's Ladder,1,802
Jamaica Farewell,1,803
John Looked Down,1,804
Last Night I Had The Strangest Dream,1,805
Last To Leave,0,806
Last Train,0,807
Lay Down Little Doggies,1,808
Living Like A Legend,0,809
Lord Grenville,0,810
Lovesick Blues,0,811
Manzanillo Bay,1,812
Massachusetts,0,813
Miss The Mississippi And You,1,814
Mystic Journey,1,815
Now And Then,1,816
Oklahoma Hills,1,817
Patriot's Dream,1,818
Percy's Song,0,819
Power Of Love,0,820
Prologue,0,821
Ridin' Down The Canyon,1,822
Sailing Down This Golden River,0,823
Shenandoah,0,824
Somebody Turned On The Light,0,825
Someday,0,826
Telephone,0,827
The Gal I Left Behind,1,828
The Motorcycle Song,0,829
The Motorcycle Song (In Album Arlo),1,830
The Pause Of Mr. Claus,0,831
The Streets Of Laredo,0,832
This Land Is Your Land,0,833
This Troubled Mind Of Mine,1,834
Ukulele Lady,0,835
Uncle Jeff,1,836
Under Cover Of Night,1,837
Unemployment Line,1,838
Utah Carroll,0,839
Victor Jara,0,840
Wheel Of Fortune,1,841
When A Soldier Makes It Home,1,842
When The Cactus Is In Bloom,0,843
When The Ship Comes In,0,844
You And Me,0,845
A Man Has Needs,1,846
Baby Poo,1,847
Big Fat Road Manager,0,848
Billy Themepark Shark,1,849
Bottle Of Booze,1,850
Boy Band,0,851
Carrot Juice Is Murder,0,852
Celine Dion,0,853
Christmas Blues,1,854
Christmas Hangover,0,855
Christmas In Ignace,1,856
Christmas Sucks,1,857
Christmas Turkey Blues,0,858
Dog Named Bob,1,859
Don't Go Into Politics,1,860
Drink With Me,0,861
Going Hunting,0,862
Great To Be A Nerd,0,863
Heimlich Maneuver,0,864
History Is Made By Stupid People,0,865
I Am Cow!!!!,1,866
I Pulled My Groin,1,867
Jesus' Brother Bob,0,868
Kill The Dog Next Door,0,869
Login To You,0,870
Malcolm,0,871
Me Like Hockey!,0,872
Mounted Animal Nature Trail,0,873
My Voice Is Changing,0,874
New Car Smell,1,875
"Oh God, I'm Santa Claus",0,876
Particle Board,0,877
Proud T O Be A Banker,0,878
Proud To Be Canadian,1,879
Really Scary,1,880
Steel Drivin' Man,0,881
The Ballad Of Dan,1,882
The Golf Song,0,883
The Happy Happy Birthday Song,0,884
The Monkey Song,1,885
The Mountie Song,0,886
The War Of 1812,1,887
Tv Weather Guy,1,888
17,0,889
All The Small Things (Blink 182 Cover),1,890
Anything But Ordinary,1,891
Bad Reputation,0,892
Complicated,1,893
Contagious,0,894
Despise You,1,895
Destiny,0,896
Eternity,0,897
Everyday Again,1,898
Fall Into You,0,899
Fall To Pieces,0,900
Falling Down,1,901
Falling Fast,0,902
Falling Into History,1,903
Feeling Sorry For Myself,1,904
Fly,1,905
Foolish (Leave Me Alone),1,906
Forgotten,1,907
He Wasn't,1,908
Hello Kitty,1,909
Here's To Never Growing Up,0,910
Here's Your Letter (Toronto Concert),0,911
Hold,0,912
How Does It Feel,0,913
I Always Get What I Want,1,914
I Love You,0,915
I Will Be,0,916
I Won't Be Home For Christmas,0,917
I'm Feeling This Dude,1,918
In The End,0,919
Kiss Me,1,920
Knockin On Hevean's Door,1,921
Let Go,1,922
Losing Grip,0,923
Make Up,1,924
Naked,1,925
Not Enough,1,926
Not The Only One,1,927
One Of Those Girls,1,928
Remember When,0,929
Rock N Roll,1,930
Sippin' On Sunshine,0,931
Sk8er Boi,0,932
Slipped Away,1,933
Smells Like Teen Spirit (Live),0,934
Smile,1,935
So Damn Hard,1,936
Sometimes,1,937
Stay (Be The One),1,938
Stop Standing There,1,939
Take It,0,940
Take Me Away,1,941
Take Me Away (Original),1,942
The Best Damn Thing,1,943
The Hockey Song,0,944
The Other Guy,1,945
The Punk Show,1,946
The Scientist,0,947
The Spongebob Squarepants Theme,0,948
Tomorrow You Didn't,1,949
Too Much To Ask,0,950
Touch The Sky,0,951
Touchdown Boy,0,952
Trust Me,1,953
Unsolved Mysteries,1,954
Unwanted,1,955
Waggy,0,956
Waste Of Time,0,957
What The Hell,1,958
Why,1,959
You Ain't Seen Nothin' Yet,1,960
You Never Satisfy Me,1,961
"10,000 Promises",0,962
All I Have To Give,1,963
All I Have To Give--Part II--The Conversation Mix,0,964
All In This Together,0,965
Anywhere For You,1,966
Betcha By Golly Wow!,1,967
Cinderella,0,968
Don't Leave Me,0,969
Everybody,0,970
Everytime I Close My Eyes,0,971
Figured You Out,0,972
Get Another Boyfriend,1,973
I Promise You,0,974
If I Ever Fall In Love,0,975
In A World Like This,0,976
International,1,977
Just Want You To Know,0,978
Lay Down Beside Me,1,979
Let's Make A Toast To Our Love,1,980
Lift Me Up,1,981
Like A Child,0,982
Lose It All,1,983
Lost In Space,1,984
Love Is,1,985
Love Will Keep You Up All Night,0,986
More Than That,1,987
Nowhere To Go,1,988
Panic,1,989
Poster Girl,0,990
Quit Playing Games With My Heart,1,991
Rebel,1,992
Roll With It,1,993
Rush Over Me,0,994
Safest Place To Hide,0,995
Satellite,1,996
She's A Dream,1,997
Shining Star,0,998
Shout,0,999
Siberia,0,1000
Something That I Already Know,1,1001
Spanish Eyes,1,1002
Trouble Is,1,1003
Try,1,1004
Unmistakable,1,1005
Weird World,0,1006
Why You Keep On Calling Me,1,1007
"Yes, I Will",1,1008
You Wrote The Book On Love,0,1009
Can You Keep A Secret,1,1010
Connect,0,1011
Do The Mermaid,0,1012
Here I Am,1,1013
Hey Ya,1,1014
I Am A Girl Like You,0,1015
It's A Perfect Christmas,0,1016
On Top Of The World,1,1017
Once Upon A Time,0,1018
The Cat's Meow,0,1019
Two Voices One Song,1,1020
Ultimate,1,1021
Wings,0,1022
Written In Your Heart,0,1023
A Child Is Born,0,1024
A Christmas Love Song,1,1025
Above The Law,1,1026
Absent Minded Me,0,1027
Adelaide's Lament,0,1028
After The Rain,1,1029
Alfie,0,1030
All I Ask Of You,0,1031
All I Know Of Love,0,1032
All In Love Is Fair,0,1033
All Of My Life,1,1034
All That I Want,1,1035
All The Things You Are,1,1036
"America, The Beautiful",0,1037
Auld Lang Syne,0,1038
Back To Work,0,1039
Being Alive,0,1040
Children Will Listen,0,1041
Christmas Lullaby,0,1042
Christmas Mem'ries,1,1043
Circle,0,1044
Clopin Clopant,1,1045
Closer,1,1046
Come Back To Me,1,1047
Come Rain Or Come Shine,1,1048
Come To The Supermarket,0,1049
Come Tomorrow,1,1050
Comin' In And Out Of Your Life,1,1051
Dancing,0,1052
Deep In The Night,0,1053
Didn't We,1,1054
Ding-dong! The Witch Is Dead!,0,1055
Doing The Reactionary,1,1056
Don't Like Goodbyes,0,1057
Don't Rain On My Parade,1,1058
Down With Love,1,1059
Draw Me A Circle,0,1060
Emotion,1,1061
Evergreen,0,1062
Everything,1,1063
Everything Must Change,1,1064
Find Yourself A Man,1,1065
Fine And Dandy,1,1066
For Pete's Sake,0,1067
Frank Mills,0,1068
Funny Thing Happened On My Way To Love,0,1069
Golden Dawn,0,1070
Goodbye For Now,0,1071
Goodnight,0,1072
Gotta Move,1,1073
Grandma's Hands,1,1074
Grown-up Christmas List,1,1075
Guava Jelly,1,1076
Guilty,1,1077
Have Yourself A Merry Little Christmas,0,1078
He Touched Me,0,1079
Heart Don't Change My Mind,0,1080
Hideaway,0,1081
Higher Ground,0,1082
His Love Makes Me Beautiful,0,1083
Honey Can I Put On Your Clothes,0,1084
I Don't Care Much,0,1085
I Don't Know Where I Stand,1,1086
I Found You Love,0,1087
I Got Rhythm,0,1088
I Had Myself A True Love,0,1089
I Know Him So Well,1,1090
I Like Him,0,1091
I Mean To Shine,1,1092
I Never Had It So Good,1,1093
I Never Has Seen Snow,0,1094
I Never Meant To Hurt You,0,1095
